"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AUS088-Set7aB11_S23.final.scaffolds.fasta.nohead.fasta","AUS089-Set7bE2_S2.final.scaffolds.fasta.nohead.fasta","AUS52.fasta","DUN-003B-Set9aC9_S33.final.scaffolds.fasta.nohead.fasta","DUN-004-Set9aC10_S34.final.scaffolds.fasta.nohead.fasta","ILPAO1.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","Pseudomonas_aeruginosa_PAO1_107.fna"
"htpX_3","","Protease HtpX","19","19","1","1","12890","","","","959","959","959","CIGDOPNK_03055","BNMDDFNN_01329","NMHOBMPN_01370","LGHNJHKC_05071","DEIJMABD_00118","CDBGKAIK_01610","CECHFLPG_03668","IKEEPGDJ_03991","GDNBNODK_03245","LEACNAEK_03994","CABJIOEI_07912","GNFPCNDJ_03886","AELPJDKL_03298","LGGGIJGP_08717","BGKEFAEA_02006","BKCAIGBL_04167","BBPGNFAN_01931","JKFCCDBN_04465","DOOJPGAP_02932"
"cdhR_2","","HTH-type transcriptional regulator CdhR","19","19","1","1","9673","","","","1103","1103","1103","CIGDOPNK_00079","BNMDDFNN_04955","NMHOBMPN_05528","LGHNJHKC_00382","DEIJMABD_05097","CDBGKAIK_03063","CECHFLPG_00365","IKEEPGDJ_00385","GDNBNODK_00247","LEACNAEK_01711","CABJIOEI_04939","GNFPCNDJ_00411","AELPJDKL_00252","LGGGIJGP_05072","BGKEFAEA_05185","BKCAIGBL_00458","BBPGNFAN_03615","JKFCCDBN_01629","DOOJPGAP_05565"
"group_11879","","hypothetical protein","19","19","1","1","10225","","","","779","779","779","CIGDOPNK_03442","BNMDDFNN_02283","NMHOBMPN_04844","LGHNJHKC_01628","DEIJMABD_00856","CDBGKAIK_04114","CECHFLPG_03385","IKEEPGDJ_03004","GDNBNODK_02962","LEACNAEK_00718","CABJIOEI_07298","GNFPCNDJ_03218","AELPJDKL_02424","LGGGIJGP_07832","BGKEFAEA_02675","BKCAIGBL_03292","BBPGNFAN_02840","JKFCCDBN_03260","DOOJPGAP_01725"
"group_11880","","hypothetical protein","19","19","1","1","7170","","","","1856","1856","1856","CIGDOPNK_00654","BNMDDFNN_03713","NMHOBMPN_04260","LGHNJHKC_02014","DEIJMABD_04689","CDBGKAIK_04592","CECHFLPG_02874","IKEEPGDJ_03348","GDNBNODK_02412","LEACNAEK_01146","CABJIOEI_07703","GNFPCNDJ_03450","AELPJDKL_02656","LGGGIJGP_08066","BGKEFAEA_02273","BKCAIGBL_03524","BBPGNFAN_03061","JKFCCDBN_00731","DOOJPGAP_04729"
"era","","GTPase Era","19","19","1","1","11223","","","","917","917","917","CIGDOPNK_05013","BNMDDFNN_00108","NMHOBMPN_03111","LGHNJHKC_02331","DEIJMABD_03156","CDBGKAIK_00756","CECHFLPG_02608","IKEEPGDJ_02403","GDNBNODK_04660","LEACNAEK_03187","CABJIOEI_09344","GNFPCNDJ_02671","AELPJDKL_04609","LGGGIJGP_07217","BGKEFAEA_03125","BKCAIGBL_02581","BBPGNFAN_00110","JKFCCDBN_00215","DOOJPGAP_00797"
"nlpD_1","","Murein hydrolase activator NlpD","19","19","1","1","13444","","","","695","695","695","CIGDOPNK_04138","BNMDDFNN_02795","NMHOBMPN_02400","LGHNJHKC_04817","DEIJMABD_01852","CDBGKAIK_01321","CECHFLPG_04387","IKEEPGDJ_05335","GDNBNODK_03741","LEACNAEK_02792","CABJIOEI_08415","GNFPCNDJ_04382","AELPJDKL_04426","LGGGIJGP_10077","BGKEFAEA_00131","BKCAIGBL_04680","BBPGNFAN_00998","JKFCCDBN_01380","DOOJPGAP_05094"
"recQ","","ATP-dependent DNA helicase RecQ","19","19","1","1","13810","","","","2138","2138","2138","CIGDOPNK_01646","BNMDDFNN_00801","NMHOBMPN_00167","LGHNJHKC_05597","DEIJMABD_04288","CDBGKAIK_05325","CECHFLPG_01321","IKEEPGDJ_01114","GDNBNODK_01167","LEACNAEK_01951","CABJIOEI_05972","GNFPCNDJ_01292","AELPJDKL_01093","LGGGIJGP_05915","BGKEFAEA_04246","BKCAIGBL_01367","BBPGNFAN_04759","JKFCCDBN_05392","DOOJPGAP_03463"
"tyrB","","Aromatic-amino-acid aminotransferase","19","19","1","1","13695","","","","1196","1196","1196","CIGDOPNK_02738","BNMDDFNN_01008","NMHOBMPN_01050","LGHNJHKC_05392","DEIJMABD_00433","CDBGKAIK_01930","CECHFLPG_03988","IKEEPGDJ_03671","GDNBNODK_03565","LEACNAEK_04721","CABJIOEI_08235","GNFPCNDJ_04206","AELPJDKL_02979","LGGGIJGP_08392","BGKEFAEA_01687","BKCAIGBL_03847","BBPGNFAN_01612","JKFCCDBN_03782","DOOJPGAP_03252"
"folD","","Bifunctional protein FolD protein","19","19","1","1","10347","","","","854","854","854","CIGDOPNK_03561","BNMDDFNN_02164","NMHOBMPN_01820","LGHNJHKC_01183","DEIJMABD_00975","CDBGKAIK_03995","CECHFLPG_03266","IKEEPGDJ_03123","GDNBNODK_02843","LEACNAEK_00837","CABJIOEI_07177","GNFPCNDJ_03099","AELPJDKL_02305","LGGGIJGP_07711","BGKEFAEA_02794","BKCAIGBL_03173","BBPGNFAN_02721","JKFCCDBN_03141","DOOJPGAP_01844"
"mtaD","","5-methylthioadenosine/S-adenosylhomocysteine deaminase","19","19","1","1","13737","","","","1334","1334","1334","CIGDOPNK_02714","BNMDDFNN_00984","NMHOBMPN_01023","LGHNJHKC_05415","DEIJMABD_00462","CDBGKAIK_01959","CECHFLPG_04017","IKEEPGDJ_03642","GDNBNODK_03594","LEACNAEK_04692","CABJIOEI_08267","GNFPCNDJ_04235","AELPJDKL_02950","LGGGIJGP_08361","BGKEFAEA_01658","BKCAIGBL_03818","BBPGNFAN_01583","JKFCCDBN_03753","DOOJPGAP_03281"
"group_11889","","hypothetical protein","19","19","1","1","12536","","","","527","527","527","CIGDOPNK_04581","BNMDDFNN_01872","NMHOBMPN_00721","LGHNJHKC_04018","DEIJMABD_06040","CDBGKAIK_02515","CECHFLPG_04605","IKEEPGDJ_04575","GDNBNODK_04182","LEACNAEK_05750","CABJIOEI_08858","GNFPCNDJ_04823","AELPJDKL_03544","LGGGIJGP_08964","BGKEFAEA_01216","BKCAIGBL_04899","BBPGNFAN_02177","JKFCCDBN_05740","DOOJPGAP_04034"
"nqrA","","Na(+)-translocating NADH-quinone reductase subunit A","19","19","1","1","12715","","","","1337","1337","1337","CIGDOPNK_02881","BNMDDFNN_01157","NMHOBMPN_01197","LGHNJHKC_05244","DEIJMABD_00287","CDBGKAIK_01783","CECHFLPG_03841","IKEEPGDJ_03819","GDNBNODK_03418","LEACNAEK_04167","CABJIOEI_08085","GNFPCNDJ_04059","AELPJDKL_03126","LGGGIJGP_08543","BGKEFAEA_01834","BKCAIGBL_03994","BBPGNFAN_01759","JKFCCDBN_04293","DOOJPGAP_03105"
"hsrA","","putative transport protein HsrA","19","19","1","1","7404","","","","1433","1433","1433","CIGDOPNK_02076","BNMDDFNN_03233","NMHOBMPN_02810","LGHNJHKC_03304","DEIJMABD_02376","CDBGKAIK_04873","CECHFLPG_02104","IKEEPGDJ_01900","GDNBNODK_02111","LEACNAEK_00573","CABJIOEI_06634","GNFPCNDJ_02004","AELPJDKL_01752","LGGGIJGP_06545","BGKEFAEA_03629","BKCAIGBL_02278","BBPGNFAN_04507","JKFCCDBN_05047","DOOJPGAP_00469"
"eco","","Ecotin","19","19","1","1","12987","","","","470","470","470","CIGDOPNK_03141","BNMDDFNN_01424","NMHOBMPN_01465","LGHNJHKC_04969","DEIJMABD_00030","CDBGKAIK_01526","CECHFLPG_03584","IKEEPGDJ_04075","GDNBNODK_03161","LEACNAEK_03910","CABJIOEI_07828","GNFPCNDJ_03802","AELPJDKL_03382","LGGGIJGP_08801","BGKEFAEA_02091","BKCAIGBL_04252","BBPGNFAN_02015","JKFCCDBN_04549","DOOJPGAP_02848"
"sfsA","","Sugar fermentation stimulation protein A","19","19","1","1","9487","","","","707","707","707","CIGDOPNK_00408","BNMDDFNN_03006","NMHOBMPN_02610","LGHNJHKC_00970","DEIJMABD_03903","CDBGKAIK_05496","CECHFLPG_00965","IKEEPGDJ_00982","GDNBNODK_00720","LEACNAEK_01778","CABJIOEI_05565","GNFPCNDJ_01055","AELPJDKL_00735","LGGGIJGP_05670","BGKEFAEA_04624","BKCAIGBL_01131","BBPGNFAN_04986","JKFCCDBN_01696","DOOJPGAP_04884"
"fdhA","","Glutathione-independent formaldehyde dehydrogenase","19","19","1","1","455","","","","1199","1199","1199","CIGDOPNK_02691","BNMDDFNN_04913","NMHOBMPN_04133","LGHNJHKC_01447","DEIJMABD_05143","CDBGKAIK_03021","CECHFLPG_02084","IKEEPGDJ_01880","GDNBNODK_01706","LEACNAEK_00240","CABJIOEI_06426","GNFPCNDJ_01799","AELPJDKL_01547","LGGGIJGP_06337","BGKEFAEA_03649","BKCAIGBL_02058","BBPGNFAN_03657","JKFCCDBN_01867","DOOJPGAP_05607"
"aqpZ","","Aquaporin Z","19","19","1","1","8978","","","","689","689","689","CIGDOPNK_04452","BNMDDFNN_04602","NMHOBMPN_00851","LGHNJHKC_00829","DEIJMABD_03680","CDBGKAIK_04819","CECHFLPG_01145","IKEEPGDJ_01462","GDNBNODK_01034","LEACNAEK_05358","CABJIOEI_05877","GNFPCNDJ_01098","AELPJDKL_00939","LGGGIJGP_05761","BGKEFAEA_04379","BKCAIGBL_01173","BBPGNFAN_04116","JKFCCDBN_05279","DOOJPGAP_04163"
"group_11896","","hypothetical protein","19","19","1","1","8052","","","","641","641","641","CIGDOPNK_04764","BNMDDFNN_01688","NMHOBMPN_00538","LGHNJHKC_04206","DEIJMABD_01249","CDBGKAIK_02333","CECHFLPG_04786","IKEEPGDJ_04394","GDNBNODK_04363","LEACNAEK_05546","CABJIOEI_09044","GNFPCNDJ_05005","AELPJDKL_03726","LGGGIJGP_09149","BGKEFAEA_01397","BKCAIGBL_05082","BBPGNFAN_02359","JKFCCDBN_02565","DOOJPGAP_03853"
"holA","","DNA polymerase III subunit delta","19","19","1","1","12624","","","","1037","1037","1037","CIGDOPNK_04496","BNMDDFNN_01957","NMHOBMPN_00807","LGHNJHKC_03932","DEIJMABD_05234","CDBGKAIK_02600","CECHFLPG_04520","IKEEPGDJ_04660","GDNBNODK_04097","LEACNAEK_05835","CABJIOEI_08773","GNFPCNDJ_04738","AELPJDKL_03459","LGGGIJGP_08879","BGKEFAEA_01131","BKCAIGBL_04814","BBPGNFAN_02092","JKFCCDBN_05825","DOOJPGAP_04119"
"puuR_4","","HTH-type transcriptional regulator PuuR","19","19","1","1","13378","","","","599","599","599","CIGDOPNK_04071","BNMDDFNN_02728","NMHOBMPN_02334","LGHNJHKC_04752","DEIJMABD_01786","CDBGKAIK_01255","CECHFLPG_04321","IKEEPGDJ_05401","GDNBNODK_03807","LEACNAEK_02726","CABJIOEI_08481","GNFPCNDJ_04448","AELPJDKL_04360","LGGGIJGP_10143","BGKEFAEA_00197","BKCAIGBL_04614","BBPGNFAN_01064","JKFCCDBN_01446","DOOJPGAP_05160"
"group_11899","fpr_2","Ferredoxin--NADP reductase","19","19","1","1","7208","","","","776","776","776","CIGDOPNK_00615","BNMDDFNN_03751","NMHOBMPN_04222","LGHNJHKC_01976","DEIJMABD_04652","CDBGKAIK_04630","CECHFLPG_02836","IKEEPGDJ_03310","GDNBNODK_02374","LEACNAEK_01108","CABJIOEI_07741","GNFPCNDJ_03412","AELPJDKL_02618","LGGGIJGP_08028","BGKEFAEA_02235","BKCAIGBL_03486","BBPGNFAN_03023","JKFCCDBN_00693","DOOJPGAP_04767"
"recF_2","","DNA replication and repair protein RecF","19","19","1","1","623","","","","1109","1109","1109","CIGDOPNK_02529","BNMDDFNN_05187","NMHOBMPN_03979","LGHNJHKC_01286","DEIJMABD_03523","CDBGKAIK_02868","CECHFLPG_01931","IKEEPGDJ_01727","GDNBNODK_01859","LEACNAEK_00087","CABJIOEI_06582","GNFPCNDJ_01952","AELPJDKL_01700","LGGGIJGP_06493","BGKEFAEA_03802","BKCAIGBL_01905","BBPGNFAN_03810","JKFCCDBN_02020","DOOJPGAP_00003"
"yijE_2","","putative cystine transporter YijE","19","19","1","1","11498","","","","911","911","911","CIGDOPNK_05568","BNMDDFNN_00674","NMHOBMPN_04565","LGHNJHKC_03884","DEIJMABD_04869","CDBGKAIK_00102","CECHFLPG_05471","IKEEPGDJ_05103","GDNBNODK_05316","LEACNAEK_02322","CABJIOEI_10012","GNFPCNDJ_05690","AELPJDKL_05264","LGGGIJGP_09496","BGKEFAEA_00688","BKCAIGBL_05767","BBPGNFAN_00766","JKFCCDBN_02322","DOOJPGAP_01452"
"panD","","Aspartate 1-decarboxylase","19","19","1","1","9498","","","","380","380","380","CIGDOPNK_00419","BNMDDFNN_02995","NMHOBMPN_02599","LGHNJHKC_00981","DEIJMABD_03914","CDBGKAIK_05485","CECHFLPG_00976","IKEEPGDJ_00993","GDNBNODK_00731","LEACNAEK_01789","CABJIOEI_05576","GNFPCNDJ_01044","AELPJDKL_00724","LGGGIJGP_05681","BGKEFAEA_04635","BKCAIGBL_01120","BBPGNFAN_04997","JKFCCDBN_01707","DOOJPGAP_04895"
"dxr","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","19","19","1","1","8140","","","","1190","1190","1190","CIGDOPNK_04843","BNMDDFNN_01609","NMHOBMPN_00459","LGHNJHKC_04286","DEIJMABD_01342","CDBGKAIK_02254","CECHFLPG_04865","IKEEPGDJ_04315","GDNBNODK_04442","LEACNAEK_05467","CABJIOEI_09123","GNFPCNDJ_05084","AELPJDKL_03805","LGGGIJGP_09228","BGKEFAEA_01476","BKCAIGBL_05161","BBPGNFAN_02438","JKFCCDBN_02644","DOOJPGAP_03774"
"cidA_1","","Holin-like protein CidA","19","19","1","1","9000","","","","410","410","410","CIGDOPNK_04472","BNMDDFNN_01980","NMHOBMPN_00831","LGHNJHKC_03909","DEIJMABD_05210","CDBGKAIK_04839","CECHFLPG_00155","IKEEPGDJ_00154","GDNBNODK_01054","LEACNAEK_01528","CABJIOEI_05897","GNFPCNDJ_00167","AELPJDKL_00919","LGGGIJGP_04853","BGKEFAEA_04359","BKCAIGBL_00239","BBPGNFAN_04096","JKFCCDBN_00602","DOOJPGAP_04143"
"group_11905","uvrY_2","Response regulator UvrY","19","19","1","1","12138","","","","632","632","632","CIGDOPNK_02221","BNMDDFNN_03088","NMHOBMPN_02959","LGHNJHKC_03449","DEIJMABD_02560","CDBGKAIK_05020","CECHFLPG_02251","IKEEPGDJ_02047","GDNBNODK_01964","LEACNAEK_00426","CABJIOEI_06781","GNFPCNDJ_02151","AELPJDKL_01899","LGGGIJGP_06692","BGKEFAEA_03482","BKCAIGBL_02131","BBPGNFAN_04360","JKFCCDBN_05194","DOOJPGAP_00616"
"group_11906","","hypothetical protein","19","19","1","1","7164","","","","488","488","488","CIGDOPNK_00660","BNMDDFNN_03708","NMHOBMPN_04265","LGHNJHKC_02019","DEIJMABD_04694","CDBGKAIK_04587","CECHFLPG_02879","IKEEPGDJ_03353","GDNBNODK_02417","LEACNAEK_01151","CABJIOEI_07698","GNFPCNDJ_03455","AELPJDKL_02661","LGGGIJGP_08071","BGKEFAEA_02278","BKCAIGBL_03529","BBPGNFAN_03066","JKFCCDBN_00736","DOOJPGAP_04724"
"occM_1","","Octopine transport system permease protein OccM","19","19","1","1","10672","","","","698","698","698","CIGDOPNK_05132","BNMDDFNN_00237","NMHOBMPN_03231","LGHNJHKC_02451","DEIJMABD_05043","CDBGKAIK_00635","CECHFLPG_02729","IKEEPGDJ_02524","GDNBNODK_04781","LEACNAEK_03308","CABJIOEI_09467","GNFPCNDJ_02550","AELPJDKL_04730","LGGGIJGP_07094","BGKEFAEA_03004","BKCAIGBL_02702","BBPGNFAN_00231","JKFCCDBN_00094","DOOJPGAP_00918"
"rssA","","Swarming motility regulation sensor protein RssA","19","19","1","1","11239","","","","1382","1382","1382","CIGDOPNK_04998","BNMDDFNN_00093","NMHOBMPN_03096","LGHNJHKC_02316","DEIJMABD_03140","CDBGKAIK_00771","CECHFLPG_02593","IKEEPGDJ_02388","GDNBNODK_04645","LEACNAEK_03172","CABJIOEI_09329","GNFPCNDJ_02686","AELPJDKL_04594","LGGGIJGP_07232","BGKEFAEA_03140","BKCAIGBL_02566","BBPGNFAN_00095","JKFCCDBN_00230","DOOJPGAP_00782"
"pvdQ","","Acyl-homoserine lactone acylase PvdQ","19","19","1","1","196","","","","2288","2288","2288","CIGDOPNK_00511","BNMDDFNN_04980","NMHOBMPN_05165","LGHNJHKC_00499","DEIJMABD_00575","CDBGKAIK_03139","CECHFLPG_01641","IKEEPGDJ_00823","GDNBNODK_01453","LEACNAEK_01440","CABJIOEI_05304","GNFPCNDJ_01733","AELPJDKL_00528","LGGGIJGP_05459","BGKEFAEA_04882","BKCAIGBL_01807","BBPGNFAN_05138","JKFCCDBN_01024","DOOJPGAP_02458"
"tcdA","","tRNA threonylcarbamoyladenosine dehydratase","19","19","1","1","11759","","","","812","812","812","CIGDOPNK_05418","BNMDDFNN_00517","NMHOBMPN_03508","LGHNJHKC_03702","DEIJMABD_02800","CDBGKAIK_00352","CECHFLPG_05221","IKEEPGDJ_04853","GDNBNODK_05066","LEACNAEK_02072","CABJIOEI_09759","GNFPCNDJ_05440","AELPJDKL_05014","LGGGIJGP_09749","BGKEFAEA_00938","BKCAIGBL_05517","BBPGNFAN_00516","JKFCCDBN_02072","DOOJPGAP_01202"
"oprB_5","","Porin B","19","19","1","1","8912","","","","1304","1304","1304","CIGDOPNK_04387","BNMDDFNN_04667","NMHOBMPN_00916","LGHNJHKC_00894","DEIJMABD_03747","CDBGKAIK_04754","CECHFLPG_01080","IKEEPGDJ_01397","GDNBNODK_00969","LEACNAEK_00988","CABJIOEI_05812","GNFPCNDJ_01163","AELPJDKL_01004","LGGGIJGP_05826","BGKEFAEA_04444","BKCAIGBL_01238","BBPGNFAN_04181","JKFCCDBN_00389","DOOJPGAP_04229"
"group_11912","","hypothetical protein","19","19","1","1","7470","","","","593","593","593","CIGDOPNK_02011","BNMDDFNN_03298","NMHOBMPN_02744","LGHNJHKC_03238","DEIJMABD_02311","CDBGKAIK_05220","CECHFLPG_01759","IKEEPGDJ_01259","GDNBNODK_01647","LEACNAEK_01588","CABJIOEI_06367","GNFPCNDJ_01447","AELPJDKL_01488","LGGGIJGP_06060","BGKEFAEA_03892","BKCAIGBL_01472","BBPGNFAN_04572","JKFCCDBN_01142","DOOJPGAP_00403"
"rph","","Ribonuclease PH","19","19","1","1","8704","","","","719","719","719","CIGDOPNK_03715","BNMDDFNN_04289","NMHOBMPN_01971","LGHNJHKC_04398","DEIJMABD_05571","CDBGKAIK_00901","CECHFLPG_00753","IKEEPGDJ_05755","GDNBNODK_00539","LEACNAEK_03014","CABJIOEI_05385","GNFPCNDJ_00795","AELPJDKL_04006","LGGGIJGP_10497","BGKEFAEA_00551","BKCAIGBL_00871","BBPGNFAN_01418","JKFCCDBN_02906","DOOJPGAP_05514"
"lipL","","Octanoyl-[GcvH]:protein N-octanoyltransferase","19","19","1","1","394","","","","683","683","683","CIGDOPNK_00047","BNMDDFNN_05598","NMHOBMPN_05644","LGHNJHKC_00212","DEIJMABD_05861","CDBGKAIK_04291","CECHFLPG_00242","IKEEPGDJ_00271","GDNBNODK_00190","LEACNAEK_05448","CABJIOEI_04922","GNFPCNDJ_00271","AELPJDKL_00210","LGGGIJGP_04957","BGKEFAEA_05308","BKCAIGBL_00344","BBPGNFAN_03362","JKFCCDBN_05312","DOOJPGAP_04427"
"macA","","Macrolide export protein MacA","19","19","1","1","192","","","","1175","1175","1175","CIGDOPNK_00507","BNMDDFNN_04976","NMHOBMPN_05726","LGHNJHKC_00495","DEIJMABD_00579","CDBGKAIK_03143","CECHFLPG_01637","IKEEPGDJ_00827","GDNBNODK_01457","LEACNAEK_01436","CABJIOEI_05308","GNFPCNDJ_01737","AELPJDKL_00532","LGGGIJGP_05455","BGKEFAEA_04886","BKCAIGBL_01811","BBPGNFAN_05134","JKFCCDBN_01020","DOOJPGAP_02462"
"czcA","","Cobalt-zinc-cadmium resistance protein CzcA","19","19","1","1","12395","","","","3155","3155","3155","CIGDOPNK_01238","BNMDDFNN_04025","NMHOBMPN_01788","LGHNJHKC_02561","DEIJMABD_02120","CDBGKAIK_03271","CECHFLPG_02375","IKEEPGDJ_02294","GDNBNODK_02182","LEACNAEK_05237","CABJIOEI_07030","GNFPCNDJ_02275","AELPJDKL_02146","LGGGIJGP_06816","BGKEFAEA_03358","BKCAIGBL_02472","BBPGNFAN_03424","JKFCCDBN_04926","DOOJPGAP_02591"
"speD","","S-adenosylmethionine decarboxylase proenzyme","19","19","1","1","12178","","","","794","794","794","CIGDOPNK_02257","BNMDDFNN_03051","NMHOBMPN_02998","LGHNJHKC_03485","DEIJMABD_02597","CDBGKAIK_05072","CECHFLPG_02303","IKEEPGDJ_02099","GDNBNODK_01912","LEACNAEK_00374","CABJIOEI_06833","GNFPCNDJ_02203","AELPJDKL_01951","LGGGIJGP_06744","BGKEFAEA_03430","BKCAIGBL_02079","BBPGNFAN_04308","JKFCCDBN_05246","DOOJPGAP_00668"
"group_11918","","hypothetical protein","19","19","1","1","12370","","","","632","632","632","CIGDOPNK_01263","BNMDDFNN_04000","NMHOBMPN_01763","LGHNJHKC_02586","DEIJMABD_02095","CDBGKAIK_03296","CECHFLPG_02400","IKEEPGDJ_02269","GDNBNODK_02207","LEACNAEK_05212","CABJIOEI_07005","GNFPCNDJ_02300","AELPJDKL_02121","LGGGIJGP_06841","BGKEFAEA_03333","BKCAIGBL_02447","BBPGNFAN_03449","JKFCCDBN_04901","DOOJPGAP_02616"
"murF","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","19","19","1","1","8501","","","","1376","1376","1376","CIGDOPNK_00831","BNMDDFNN_03545","NMHOBMPN_04430","LGHNJHKC_02184","DEIJMABD_04452","CDBGKAIK_04424","CECHFLPG_03042","IKEEPGDJ_03516","GDNBNODK_02580","LEACNAEK_01314","CABJIOEI_07534","GNFPCNDJ_03618","AELPJDKL_02824","LGGGIJGP_08235","BGKEFAEA_02441","BKCAIGBL_03692","BBPGNFAN_03229","JKFCCDBN_00899","DOOJPGAP_04561"
"styD","","Phenylacetaldehyde dehydrogenase","19","19","1","1","8939","","","","1487","1487","1487","CIGDOPNK_04413","BNMDDFNN_04641","NMHOBMPN_00890","LGHNJHKC_00868","DEIJMABD_03719","CDBGKAIK_04780","CECHFLPG_01106","IKEEPGDJ_01423","GDNBNODK_00995","LEACNAEK_01014","CABJIOEI_05838","GNFPCNDJ_01137","AELPJDKL_00978","LGGGIJGP_05800","BGKEFAEA_04418","BKCAIGBL_01212","BBPGNFAN_04155","JKFCCDBN_00415","DOOJPGAP_04203"
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","19","19","1","1","8504","","","","1199","1199","1199","CIGDOPNK_00834","BNMDDFNN_03542","NMHOBMPN_04433","LGHNJHKC_02187","DEIJMABD_04449","CDBGKAIK_04421","CECHFLPG_03045","IKEEPGDJ_03519","GDNBNODK_02583","LEACNAEK_01317","CABJIOEI_07531","GNFPCNDJ_03621","AELPJDKL_02827","LGGGIJGP_08238","BGKEFAEA_02444","BKCAIGBL_03695","BBPGNFAN_03232","JKFCCDBN_00902","DOOJPGAP_04558"
"ydfJ","","Membrane protein YdfJ","19","19","1","1","13634","","","","2381","2381","2381","CIGDOPNK_02803","BNMDDFNN_01075","NMHOBMPN_01117","LGHNJHKC_05325","DEIJMABD_00366","CDBGKAIK_01863","CECHFLPG_03921","IKEEPGDJ_03738","GDNBNODK_03498","LEACNAEK_04247","CABJIOEI_08167","GNFPCNDJ_04139","AELPJDKL_03046","LGGGIJGP_08460","BGKEFAEA_01754","BKCAIGBL_03914","BBPGNFAN_01679","JKFCCDBN_04213","DOOJPGAP_03185"
"spxA","","Regulatory protein Spx","19","19","1","1","8126","","","","347","347","347","CIGDOPNK_04829","BNMDDFNN_01623","NMHOBMPN_00473","LGHNJHKC_04272","DEIJMABD_01328","CDBGKAIK_02268","CECHFLPG_04851","IKEEPGDJ_04329","GDNBNODK_04428","LEACNAEK_05481","CABJIOEI_09109","GNFPCNDJ_05070","AELPJDKL_03791","LGGGIJGP_09214","BGKEFAEA_01462","BKCAIGBL_05147","BBPGNFAN_02424","JKFCCDBN_02630","DOOJPGAP_03788"
"surA","","Chaperone SurA","19","19","1","1","12131","","","","1292","1292","1292","CIGDOPNK_02214","BNMDDFNN_03095","NMHOBMPN_02952","LGHNJHKC_03442","DEIJMABD_02553","CDBGKAIK_05013","CECHFLPG_02244","IKEEPGDJ_02040","GDNBNODK_01971","LEACNAEK_00433","CABJIOEI_06774","GNFPCNDJ_02144","AELPJDKL_01892","LGGGIJGP_06685","BGKEFAEA_03489","BKCAIGBL_02138","BBPGNFAN_04367","JKFCCDBN_05187","DOOJPGAP_00609"
"group_11925","","hypothetical protein","19","19","1","1","9555","","","","857","857","857","CIGDOPNK_00478","BNMDDFNN_02936","NMHOBMPN_02540","LGHNJHKC_01040","DEIJMABD_03973","CDBGKAIK_05426","CECHFLPG_01035","IKEEPGDJ_01052","GDNBNODK_00790","LEACNAEK_01848","CABJIOEI_05635","GNFPCNDJ_00985","AELPJDKL_00665","LGGGIJGP_05740","BGKEFAEA_04694","BKCAIGBL_01061","BBPGNFAN_05056","JKFCCDBN_01766","DOOJPGAP_04954"
"estA","","Esterase EstA","19","19","1","1","13245","","","","1940","1940","1940","CIGDOPNK_03946","BNMDDFNN_02603","NMHOBMPN_02210","LGHNJHKC_04626","DEIJMABD_01664","CDBGKAIK_01130","CECHFLPG_04196","IKEEPGDJ_05526","GDNBNODK_03932","LEACNAEK_02601","CABJIOEI_08607","GNFPCNDJ_04573","AELPJDKL_04235","LGGGIJGP_10268","BGKEFAEA_00322","BKCAIGBL_04489","BBPGNFAN_01189","JKFCCDBN_01571","DOOJPGAP_05285"
"group_11927","","hypothetical protein","19","19","1","1","13234","","","","521","521","521","CIGDOPNK_03936","BNMDDFNN_02593","NMHOBMPN_02200","LGHNJHKC_04616","DEIJMABD_01654","CDBGKAIK_01120","CECHFLPG_04186","IKEEPGDJ_05536","GDNBNODK_03942","LEACNAEK_02591","CABJIOEI_08617","GNFPCNDJ_04583","AELPJDKL_04225","LGGGIJGP_10278","BGKEFAEA_00332","BKCAIGBL_04479","BBPGNFAN_01199","JKFCCDBN_01581","DOOJPGAP_05295"
